27	16	192
24	19	3
0	11	2
6	13	62
13	6	5
12	7	4
16	27	282000
15	4	3
45	38	3
49	58	8
48	59	1
52	63	282000
51	56	6
9	5	1
10	6	1
70	74	189878
30	18	3
31	19	595
27	23	3
28	16	1
18	30	1
0	12	2
6	10	64
11	7	120984
13	1	1
12	0	1
16	28	1128
15	3	1
36	40	1
45	33	1
50	62	4
49	61	68
48	60	1
52	56	282000
51	63	6
9	4	1
52	57	767
70	75	189878
30	19	3
31	18	79
27	22	3
28	17	4
18	31	4
1	12	2
0	13	2
6	11	64
11	6	639
13	0	1
12	1	1
16	29	564000
15	2	1
36	41	1
45	32	1
50	63	2
48	61	1
51	62	6
9	7	1
10	4	3102000
11	5	188000
1	15	2
70	72	189878
30	16	3
31	17	618
27	21	3
28	18	4
18	28	1
0	14	2
6	8	64
14	0	1
13	3	5
12	2	1
16	30	282000
15	1	1
36	42	1
45	35	3
50	60	1
52	58	282000
51	61	6
9	6	1
11	4	639
10	5	1
70	73	189878
30	17	3
31	16	96
27	20	3
28	19	3
18	29	1
1	14	2
0	15	2
6	9	64
14	1	376
13	2	5
12	3	1
16	31	94000
15	0	1
46	33	1
45	34	1
49	62	64
52	59	262469
51	60	6
50	34	1
9	25	750
1	17	2
70	86	1128
30	14	3
31	15	96
27	11	3
28	12	68
24	8	3
25	9	4
21	5	1
0	16	2
10	26	120984
12	28	4
17	1	3
16	0	1
15	31	3
20	4	4
19	3	2
18	2	2
52	36	9956
51	35	6
17	0	1
9	24	750
1	16	2
70	87	189878
30	15	3
31	14	102
27	10	3
28	13	68
24	9	3
25	8	1
21	4	1
0	17	2
10	27	604920
12	29	4
16	1	1
15	30	3
20	5	1
19	2	2
18	3	2
49	32	1
52	37	9522
51	34	6
9	27	750
70	84	2256
30	12	3
31	13	6
27	9	3
28	14	352
24	10	3
25	11	3
21	7	1
22	4	1
23	5	1
1	19	2
0	18	2
10	24	121552
12	30	4
17	3	94000
16	2	5
15	29	3
19	1	2
18	0	2
48	34	1
51	33	6
9	26	750
70	85	2256
30	13	3
31	12	6
27	8	3
28	15	1
24	11	3
25	10	3
21	6	1
23	4	1
1	18	2
0	19	2
10	25	241968
12	31	4
17	2	1128
16	3	4
15	28	3
19	0	2
18	1	2
49	34	1
48	35	1
52	39	56314
51	32	6
9	29	750
30	10	3
31	11	6
28	8	192
24	12	1
25	13	3
21	1	1
22	2	1
23	3	1
18	6	2
0	20	2
6	18	62
10	30	5265
12	24	1
17	5	1
16	4	3
15	27	3
20	0	2
19	7	128
48	36	1
52	32	2017152
51	39	6
9	28	750
70	83	2256
30	11	3
31	10	6
28	9	6
24	13	1
25	12	3
21	0	1
22	3	1
23	2	1
18	7	128
2	23	2
1	20	2
0	21	2
10	31	42120
12	25	1
17	4	1
16	5	1
15	26	3
20	1	1
19	6	128
49	36	1
48	37	1
52	33	9956
51	38	6
9	31	750
52	34	4
21	3	537
22	0	537
23	1	537
70	80	189878
30	8	3
31	9	6
28	10	6
24	14	1
25	15	3
0	22	2
6	16	62
10	28	4355424
12	26	1
16	6	1
15	25	3
20	2	4
19	5	128
18	4	2
49	39	1
51	37	6
9	30	750
21	2	537
70	81	2256
30	9	3
28	11	6
24	15	1
25	14	3
22	1	1
23	0	1
0	23	2
6	17	62
10	29	4355424
12	27	4
16	7	4
15	24	3
20	3	4
19	4	130
18	5	2
49	38	1
52	35	9956
51	36	6
9	17	3
10	18	376000
70	94	6
30	6	1
27	3	3
28	4	192
24	0	1
25	1	1
26	2	3
1	25	2
0	24	4
11	19	1
12	20	4
16	8	3
15	23	3
19	11	1
49	41	4
52	44	56314
51	43	3
52	45	6143
9	16	3
10	19	1692000
11	18	3
70	95	13
30	7	3
27	2	3
28	5	3
24	1	1
25	0	1
26	3	3
0	25	4
12	21	4
16	9	3
15	22	3
19	10	1
45	52	1
49	40	1
51	42	3
52	46	24572
9	19	3
10	16	1316
11	17	3
30	4	1
27	1	694
28	6	3
24	2	1
25	3	1
26	0	3
18	8	128
1	27	2
0	26	4
6	28	30
12	22	4
16	10	3
15	21	3
19	9	1
48	42	1
51	41	3
52	47	6143
9	18	3
10	17	188752
11	16	3
70	93	10
30	5	1
27	0	694
28	7	195
24	3	1
25	2	1
26	1	3
2	25	2
1	26	2
0	27	4
12	23	4
16	11	3
15	20	3
19	8	128
49	42	3
48	43	1
51	40	6
9	21	750
70	90	6
30	2	1
27	7	3
28	0	694
29	1	3
24	4	1
25	5	1
26	6	1
21	9	1
2	30	2
1	29	2
6	26	30
10	22	642
12	16	1
16	12	195
15	19	1
19	15	4
45	49	1
48	44	1
52	40	2300
51	47	6
9	20	3
70	91	4
30	3	1
31	2	3
27	6	3
24	5	1
25	4	1
26	7	1
21	8	1
18	15	128
6	27	30
11	22	3
10	23	1278
13	16	376
12	17	1
16	13	192
15	18	1
19	14	4
45	48	2
49	44	3
48	45	1
52	41	138601
51	46	6
9	23	750
10	20	13536000
70	88	6
30	0	1
31	1	4
27	5	3
28	2	3
29	3	1
24	6	1
25	7	1
26	4	1
6	24	30
11	21	3
12	18	1
16	14	1
15	17	1
19	13	68
45	51	1
49	47	6
52	42	82287
51	45	6
9	22	750
70	89	6
30	1	1
31	0	1
27	4	3
28	3	195
24	7	1
25	6	1
26	5	1
2	29	2
1	30	2
6	25	30
11	20	3
10	21	4
12	19	4
16	15	1
15	16	1
19	12	4
45	50	1
49	46	6
52	43	3164
51	44	3
9	41	94000
10	42	4
2	34	2
42	10	381
37	5	1
70	102	6
30	62	618
31	63	94000
27	59	4
0	32	2
15	47	3
36	4	1
46	14	1
45	13	3
48	16	1
52	20	96
51	19	3
9	40	94000
10	43	1131
42	11	381
70	103	2
30	63	618
31	62	282000
27	58	64
2	35	2
0	33	2
15	46	3
37	4	1
36	5	1
40	9	1
45	12	3
49	16	1
48	17	1
52	21	54
51	18	3
9	43	3008000
18	48	1
10	40	702
42	8	27
37	7	1
70	100	2
30	60	618
31	61	376000
27	57	64
2	32	2
0	34	2
6	36	1
15	45	3
36	6	1
46	12	1
45	15	3
49	19	1
48	18	1
52	22	139
51	17	3
9	42	3008000
10	41	5616
2	33	2
42	9	27
37	6	1
70	101	2
30	61	618
27	56	64
0	35	2
15	44	3
36	7	4
40	11	1
46	13	1
45	14	3
49	18	1
48	19	1
52	23	1611
51	16	3
9	45	3008000
10	46	1128
70	98	2
30	58	618
32	4	4
27	63	4
1	37	2
6	34	1
15	43	3
